chip,msg
0000165,0000180,0002396,0000WF9,3009 Winco 9, OR,Happy Valley,OR,97086,45.4436937,-122.5774862,undefined,1725333772
0000101,1000010,0000423,0000657,3414 Sprouts - West Melbourne #657, FL,West Melbourne,FL,32904,39.977404,-111.7759179,undefined,1725333774
0000028,0009817,0000397,0000163,3406 Sprouts - Trinity Mills #163, TX,Dallas,TX,75287,35.5469066,-105.9056213,undefined,1725333776
0000031,0000231,0002405,000WF61,3061 Winco 61, CA,Visalia,CA,93277,36.2962781,-119.3339658,undefined,1725333779
0000052,1000032,0002412,00WF172,3172 Winco 172, OR,Roseburg,OR,97471,39.977404,-111.7759179,undefined,1725333781
0000033,0000206,0002409,000WF68,3068 Winco 68, WA,Spokane,WA,99218,47.7413104,-117.3994738,undefined,1725333784
0000078,0009742,0000306,0000626,3360 Sprouts - Miramar #626, FL,Miramar,FL,33025,25.9767105,-80.3099072,undefined,1725333786
0000075,0009751,0000307,0000629,3399 Sprouts - Stuart #629, FL,Stuart,FL,34994,27.1658235,-80.2297787,undefined,1725333788
0000021,0009824,0000408,0000887,3354 Sprouts - Manassas #887, VA,Manassas,VA,20109,35.5469066,-105.9056213,undefined,1725333790
0000050,0009797,0002411,00WF170,3170 Winco 170, WA,Tacoma,WA,98406,47.2564283,-122.5202424,undefined,1725333793
0000034,0009815,0000392,0000466,3351 Sprouts - Lathrop #466, CA,Lathrop,CA,95330,35.5469066,-105.9056213,undefined,1725333795
0000083,1000020,0000431,0000473,3411 Sprouts - Visalia #473, CA,Visalia,CA,93277,39.977404,-111.7759179,undefined,1725333797
0000014,0009763,0002384,00WF162,3162 Winco 162, OR,Bend,OR,97701,44.0855576,-121.304632,undefined,1725333799
0000041,0009812,0000391,00SP161,3389 Sprouts - San Antonio #161, TX,San Antonio,TX,78251,29.445241,-98.67295,undefined,1725333801
0000042,0009786,0000368,0000443,3356 Sprouts - Menifee #443, CA,Menifee,CA,92584,33.68405,-117.18288,undefined,1725333803
0000082,0009847,0000428,0000450,3385 Sprouts - Rialto #450, CA,Rialto,CA,92376,35.5469066,-105.9056213,undefined,1725333806
